date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2017-10-17,159.78,160.87,159.23,160.47,18997279,37.8496,0.37,102034619.6
2017-10-18,160.42,160.71,159.6,159.76,16374160,37.6821,-0.44,94719179.8
2017-10-19,156.75,157.08,155.02,155.98,42584168,36.7905,-2.37,95733681.4
2017-10-20,156.61,157.75,155.96,156.25,23974150,36.8542,0.17,91199423.2
2017-10-23,156.89,157.69,155.5,156.17,21984330,36.8354,-0.05,86718821.2
2017-10-24,156.29,157.42,156.2,157.1,17757230,37.0547,0.6,82938257.8
2017-10-25,156.91,157.55,155.27,156.41,21207100,36.892,-0.44,82078831.8
2017-10-26,157.23,157.8295,156.78,157.41,17000471,37.1278,0.64,81077833.8
2017-10-27,159.29,163.6,158.7,163.05,44454160,38.4581,3.58,84708703.6
2017-10-30,163.89,168.07,163.72,166.72,44700770,39.3238,2.25,89909089.6
2017-10-31,167.9,169.6499,166.94,169.04,36046832,39.871,1.39,93872398.0
2017-11-01,169.87,169.94,165.61,166.89,33637762,39.3639,-1.27,96567200.4
2017-11-02,167.64,168.5,165.28,168.11,41393367,39.6516,0.73,100589119.8
2017-11-03,174.0,174.26,171.12,172.5,59398633,40.6871,2.61,108987334.2
2017-11-06,172.365,174.99,171.72,174.25,35026312,41.0998,1.01,112740012.6
2017-11-07,173.91,175.25,173.6,174.81,24361490,41.2319,0.32,114488908.6
2017-11-08,174.66,176.24,174.33,176.24,24409529,41.5692,0.82,115989686.2
2017-11-09,175.11,176.095,173.14,175.88,29482600,41.4843,-0.2,118661196.2
2017-11-10,175.11,175.38,174.27,174.67,25145500,41.347,-0.33,120411458.4
2017-11-13,173.5,174.5,173.4,173.97,16982080,41.1813,-0.4,118983584.6
2017-11-14,173.04,173.48,171.18,171.34,24782490,40.5587,-1.51,120140626.8
2017-11-15,169.97,170.3197,168.38,169.08,29158070,40.0238,-1.32,122697408.8
2017-11-16,171.18,171.87,170.3,171.1,23637480,40.5019,1.19,118908071.2
2017-11-17,171.04,171.39,169.64,170.15,21899539,40.2771,-0.56,118493149.0
2017-11-20,170.29,170.56,169.56,169.98,16262450,40.2368,-0.1,117348773.0
2017-11-21,170.78,173.7,170.78,173.14,25131301,40.9848,1.86,118823587.2
2017-11-22,173.36,175.0,173.05,174.96,25588930,41.4157,1.05,119699953.2
2017-11-24,175.1,175.5,174.6459,174.97,14026670,41.418,0.01,119105193.0
2017-11-27,175.05,175.08,173.34,174.09,20716801,41.2097,-0.5,114357721.2
2017-11-28,174.3,174.87,171.86,173.07,26428801,40.9683,-0.59,110703327.4
